record_id,match_id,player_name,role,nationality,team_id,team_city,coach,opponent_team_id,stadium_id,stadium_name,stadium_location,stadium_capacity,format_id,match_date,runs_scored,balls_faced,wickets_taken,overs_bowled,catches_taken,age
1,118,Mushfiqur Rahim,Wicketkeeper,Bangladesh,9,Dhaka,Chandika Hathurusingha,6,14,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,75463,1,2022-11-14,109,51,4,9.3,3,36
2,308,Shadab Khan,All-rounder,Pakistan,5,Karachi,Grant Bradburn,10,19,"Gaddafi Stadium, Lahore",Karachi,56988,1,2020-11-29,55,11,2,18.9,3,25
3,250,Jasprit Bumrah,Bowler,India,1,Mumbai,Rahul Dravid,7,15,"Wankhede Stadium, Mumbai",Mumbai,25173,2,2025-02-27,68,78,1,2.0,1,30
4,204,Jofra Archer,Bowler,England,3,London,Brendon McCullum,8,19,"Lord's Cricket Ground, London",London,62713,3,2020-06-30,116,29,4,16.3,5,29
5,417,Angelo Mathews,All-rounder,Sri Lanka,8,Colombo,Chris Silverwood,10,13,"R. Premadasa Stadium, Colombo",Colombo,86890,3,2023-10-07,64,94,3,3.2,3,36
6,263,Trent Boult,Bowler,New Zealand,6,Auckland,Gary Stead,3,20,"Eden Park, Auckland",Auckland,45525,1,2020-04-16,41,36,1,6.3,4,34
7,357,Ravindra Jadeja,All-rounder,India,1,Mumbai,Rahul Dravid,2,1,"Wankhede Stadium, Mumbai",Mumbai,81679,3,2020-06-25,90,51,3,9.4,0,35
8,52,Kane Williamson,Batsman,New Zealand,6,Auckland,Gary Stead,10,27,"Eden Park, Auckland",Auckland,70853,2,2021-12-13,145,67,4,1.3,4,33
9,205,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,5,5,"Kabul International Cricket Stadium, Kabul",Kabul,57551,1,2021-07-20,120,0,1,15.2,2,23
10,394,Chris Gayle,Batsman,West Indies,7,Kingston,Daren Sammy,5,11,"Kensington Oval, Bridgetown",Kingston,62391,1,2021-01-24,97,59,1,12.9,3,44
11,202,MS Dhoni,Wicketkeeper,India,1,Mumbai,Rahul Dravid,9,29,"Wankhede Stadium, Mumbai",Mumbai,39079,1,2024-01-26,34,13,1,0.1,0,42
12,255,Jasprit Bumrah,Bowler,India,1,Mumbai,Rahul Dravid,10,12,"Wankhede Stadium, Mumbai",Mumbai,29893,1,2024-07-24,78,24,1,14.6,4,30
13,300,Moeen Ali,All-rounder,England,3,London,Brendon McCullum,10,24,"Lord's Cricket Ground, London",London,81013,2,2023-03-03,69,39,2,0.9,2,36
14,243,Trent Boult,Bowler,New Zealand,6,Auckland,Gary Stead,8,14,"Eden Park, Auckland",Auckland,40679,1,2021-03-13,53,99,4,1.0,4,34
15,223,MS Dhoni,Wicketkeeper,India,1,Mumbai,Rahul Dravid,7,26,"Wankhede Stadium, Mumbai",Mumbai,42241,3,2022-09-11,142,21,0,10.8,3,42
16,80,Tamim Iqbal,Batsman,Bangladesh,9,Dhaka,Chandika Hathurusingha,7,26,"Sher-e-Bangla National Stadium, Dhaka",Dhaka,80125,2,2023-02-10,97,13,5,17.8,2,35
17,446,Jacques Kallis,All-rounder,South Africa,4,Johannesburg,Rob Walter,5,27,"Newlands, Cape Town",Johannesburg,75231,2,2023-02-28,20,65,0,0.3,2,48
18,333,Chris Gayle,Batsman,West Indies,7,Kingston,Daren Sammy,5,2,"Kensington Oval, Bridgetown",Kingston,49263,3,2022-10-30,131,80,5,4.6,4,44
19,316,Rahmanullah Gurbaz,Wicketkeeper,Afghanistan,10,Kabul,Jonathan Trott,3,4,"Kabul International Cricket Stadium, Kabul",Kabul,74664,1,2021-06-29,82,20,0,7.7,5,23
